HEX,FAM
3331,9018
3382,9020
6085,9020
6282,9020
6476,9020
3036,9020
6301,9021
6763,9022
3306,9023
6217,9023
6396,9023
3386,9024
6562,9025
6649,9026
3198,9026
6109,9026
6358,9027
6476,9027
6700,9027
6303,9028
6258,9028
3218,9029
6421,9029
3206,9030
6669,9031
3866,9031
6391,9032
6156,9032
3219,9036
6331,9036
3123,9036
3492,9037
6288,9037
6152,9037
6200,9037
5908,9038
6431,9038
6385,9039
4799,9040
3089,9042
3268,9043
6626,9043
6737,9044
5774,9045
3151,9046
3231,9046
3178,9047
6130,9047
6347,9048
3368,9049
6059,9050
6549,9051
6215,9051
3426,9051
6842,9052
5719,9053
6377,9054
6800,9054
6183,9055
6600,9055
6381,9056
6284,9056
6565,9057
6218,9058
6639,9059
3331,9060
3239,9061
3253,9061
3174,9061
3534,9062
6470,9062
6241,9062
6021,9065
6470,9066
6693,9067
3053,9068
6543,9068
6290,9069
6363,9070
3280,9071
6403,9071
6327,9075
6056,9077
3389,9078
6721,9079
3371,9080
3036,9081
3208,9081
3280,9082
3265,9083
6290,9084
4145,9084
6154,9084
3139,9085
3237,9085
6283,9086
6649,9087
6258,9088
5880,9090
3025,9090
3249,9091
6431,9092
5737,9092
6229,9095
6172,9095
6573,9096
3519,9096
6283,9097
3088,9097
6525,9100
3168,9100
3206,9101
6543,9101
3460,9101
3163,9103
3449,9103
3227,9103
6484,9103
6503,9104
6754,9105
3182,9105
3330,9106
3008,9107
6290,9108
6088,9109
6511,9110
3333,9111
6065,9112
3113,9115
3278,9116
6245,9117
3301,9119
6295,9119
3337,9120
6509,9121
6539,9122
6338,9123
6948,9126
6221,9127
3269,9130
6382,9133
6795,9134
3169,9135
3223,9139
3029,9145
3192,9146
6686,9148
3119,9149
6576,9149
3396,9151
6623,9156
3261,9157
6130,9161
3074,9162
6154,9165
3220,9165
3267,9169
3412,9169
6323,9170
6276,9172
6851,9174
6634,9180
3100,9180
3030,9184
3243,9185
5933,9189
3743,9189
6397,9190
6361,9192
6143,9195
6500,9196
3156,9198
3059,9209
3133,9210
6639,9218
3253,9218
5910,9223
6615,9233
3326,9242
3173,9249
6531,9256
5487,9264
3309,9271
3106,9277
6532,9282
6589,9283
6668,9288
3178,9299
6419,9305
3207,9343
6812,9351
3003,9354
3176,9386
2940,9391
3156,9480
